id_measurement;latitude;longitude;id_ernte;fehlt;überreif;verkümmert;kein Kopf;faul;unreif;Gewicht
Hofmaenner_F_001.001;47.2185367;9.493662494;Hofmaenner_F_001.001;false;false;false;false;false;false;490
Hofmaenner_F_001.002;47.21853346;9.493660374;Hofmaenner_F_001.002;false;false;false;false;false;false;520
Hofmaenner_F_001.003;47.2185305;9.49365884;Hofmaenner_F_001.003;false;false;false;false;false;false;515
Hofmaenner_F_001.004;47.21852749;9.493657414;Hofmaenner_F_001.004;false;false;false;false;false;false;562
Hofmaenner_F_001.005;47.21852401;9.493655409;Hofmaenner_F_001.005;false;false;false;false;false;false;431
Hofmaenner_F_001.006;47.21852167;9.493653868;Hofmaenner_F_001.006;false;false;false;false;false;false;790
Hofmaenner_F_001.007;47.21851861;9.49365216;Hofmaenner_F_001.007;false;false;false;false;false;false;392
Hofmaenner_F_001.008;47.2185157;9.493650618;Hofmaenner_F_001.008;false;false;false;false;false;false;491
Hofmaenner_F_001.009;47.21851213;9.493648734;Hofmaenner_F_001.009;false;false;false;false;false;false;766
Hofmaenner_F_001.010;47.21850939;9.493646902;Hofmaenner_F_001.010;false;false;false;false;false;false;575
Hofmaenner_F_001.011;47.21850689;9.493645799;Hofmaenner_F_001.011;false;false;false;false;false;false;612
Hofmaenner_F_001.012;47.21850414;9.493644278;Hofmaenner_F_001.012;false;false;false;false;false;false;480
Hofmaenner_F_001.013;47.21850083;9.493642264;Hofmaenner_F_001.013;false;false;false;false;false;false;643
Hofmaenner_F_001.014;47.21849465;9.493638786;Hofmaenner_F_001.014;false;false;false;false;false;false;481
Hofmaenner_F_001.015;47.21849132;9.493636675;Hofmaenner_F_001.015;false;false;true;false;false;false;nan
Hofmaenner_F_001.016;47.21848847;9.493634938;Hofmaenner_F_001.016;false;false;false;false;false;false;473
Hofmaenner_F_001.017;47.21848528;9.493633285;Hofmaenner_F_001.017;false;false;false;false;false;false;700
Hofmaenner_F_001.018;47.21848205;9.493631651;Hofmaenner_F_001.018;false;false;false;false;false;false;512
Hofmaenner_F_001.019;47.21847907;9.493629682;Hofmaenner_F_001.019;false;false;false;false;false;false;682
Hofmaenner_F_001.020;47.21847599;9.493628129;Hofmaenner_F_001.020;false;false;false;false;false;false;466
Hofmaenner_F_001.021;47.21847277;9.493626322;Hofmaenner_F_001.021;false;false;false;false;false;false;600
Hofmaenner_F_001.022;47.21846978;9.49362474;Hofmaenner_F_001.022;false;false;false;false;false;false;549
Hofmaenner_F_001.023;47.2184669;9.49362315;Hofmaenner_F_001.023;false;false;false;false;false;false;540
Hofmaenner_F_001.024;47.21846368;9.493621405;Hofmaenner_F_001.024;false;false;false;false;false;false;622
